%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
6.0506254  1.0993443  1368970000  -0.09475195   0.95187676
6.0506254  1.0993443  1368984400   0.78422511  -0.11082052
6.0506254  1.0993443  1368998800  -0.32153136  -0.48318958
6.0506254  1.0993443  1369013200  -0.03106841   0.34419131
6.0506254  1.0993443  1369027600   0.33508819  -0.47452092
6.0506254  1.0993443  1369042000  -0.82191771  -0.21743041
6.0506254  1.0993443  1369056400  -0.06762850   0.95350289
6.0506254  1.0993443  1369070800   0.77657598  -0.13495755
6.0506254  1.0993443  1369085200  -0.33552745  -0.46906713
6.0506254  1.0993443  1369099600  -0.01325975   0.34451520
6.0506254  1.0993443  1369114000   0.32173911  -0.48985121
6.0506254  1.0993443  1369128400  -0.83157969  -0.19359753
6.0506254  1.0993443  1369142800  -0.04047162   0.95427120
6.0506254  1.0993443  1369157200   0.76817364  -0.15877809
6.0506254  1.0993443  1369171600  -0.34893304  -0.45450473
6.0506254  1.0993443  1369186000   0.00455658   0.34416211
6.0506254  1.0993443  1369200400   0.30778414  -0.50475502
6.0506254  1.0993443  1369214800  -0.84050339  -0.16941667
6.0506254  1.0993443  1369229200  -0.01331033   0.95418310
6.0506254  1.0993443  1369243600   0.75903851  -0.18226150
6.0506254  1.0993443  1369258000  -0.36173427  -0.43952352
6.0506254  1.0993443  1369272400   0.02235422   0.34312633
6.0506254  1.0993443  1369286800   0.29323566  -0.51921040
6.0506254  1.0993443  1369301200  -0.84867644  -0.14491305
6.0506254  1.0993443  1369315600   0.01382863   0.95323884
6.0506254  1.0993443  1369330000   0.74918365  -0.20538297
6.0506254  1.0993443  1369344400  -0.37392068  -0.42414895
6.0506254  1.0993443  1369358800   0.04010867   0.34141344
6.0506254  1.0993443  1369373200   0.27810481  -0.53319097
6.0506254  1.0993443  1369387600  -0.85608274  -0.12010910
6.0506254  1.0993443  1369402000   0.04091649   0.95143986
6.0506254  1.0993443  1369416400   0.73862255  -0.22812034
6.0506254  1.0993443  1369430800  -0.38548055  -0.40840238
6.0506254  1.0993443  1369445200   0.05779411   0.33902684
6.0506254  1.0993443  1369459600   0.26241225  -0.54668242
6.0506254  1.0993443  1369474000  -0.86270988  -0.09503119
6.0506254  1.0993443  1369488400   0.06792577   0.94877911
6.0506254  1.0993443  1369502800   0.72736955  -0.25044945
6.0506254  1.0993443  1369517200  -0.39640176  -0.39230716
6.0506254  1.0993443  1369531600   0.07538661   0.33596885
6.0506254  1.0993443  1369546000   0.24617495  -0.55966413
6.0506254  1.0993443  1369560400  -0.86855412  -0.06970534
6.0506254  1.0993443  1369574800   0.09482761   0.94526625
6.0506254  1.0993443  1369589200   0.71543205  -0.27234480
6.0506254  1.0993443  1369603600  -0.40667114  -0.37588379
6.0506254  1.0993443  1369618000   0.09286039   0.33224374
6.0506254  1.0993443  1369632400   0.22940929  -0.57211763
6.0506254  1.0993443  1369646800  -0.87360650  -0.04415832
6.0506254  1.0993443  1369661200   0.12159599   0.94090819
6.0506254  1.0993443  1369675600   0.70283490  -0.29378778
6.0506254  1.0993443  1369690000  -0.41627631  -0.35915568
6.0506254  1.0993443  1369704400   0.11019034   0.32784989
6.0506254  1.0993443  1369718800   0.21213338  -0.58402324
6.0506254  1.0993443  1369733200  -0.87785894  -0.01841533
6.0506254  1.0993443  1369747600   0.14820243   0.93570983
6.0506254  1.0993443  1369762000   0.68959463  -0.31475827
6.0506254  1.0993443  1369776400  -0.42521325  -0.34214860
6.0506254  1.0993443  1369790800   0.12735133   0.32279679
6.0506254  1.0993443  1369805200   0.19436042  -0.59535617
6.0506254  1.0993443  1369819600  -0.88130009   0.00749679
6.0506254  1.0993443  1369834000   0.17462099   0.92967695
6.0506254  1.0993443  1369848400   0.67572904  -0.33523491
6.0506254  1.0993443  1369862800  -0.43347335  -0.32488707
6.0506254  1.0993443  1369877200   0.14432056   0.31709215
5.2153535  0.1232930  1368970000   0.31682396   0.49279076
5.2153535  0.1232930  1368984400  -0.22441614  -0.21756488
5.2153535  0.1232930  1368998800  -0.25428224  -0.55706346
5.2153535  0.1232930  1369013200   0.20597041  -0.49606305
5.2153535  0.1232930  1369027600  -0.39012638   0.07216959
5.2153535  0.1232930  1369042000  -0.29757124   0.71841717
5.2153535  0.1232930  1369056400   0.31724632   0.48193794
5.2153535  0.1232930  1369070800  -0.23538998  -0.22708556
5.2153535  0.1232930  1369085200  -0.24424967  -0.55906224
5.2153535  0.1232930  1369099600   0.20410419  -0.49129671
5.2153535  0.1232930  1369114000  -0.40034348   0.08508022
5.2153535  0.1232930  1369128400  -0.28473747   0.72303027
5.2153535  0.1232930  1369142800   0.31721535   0.47094771
5.2153535  0.1232930  1369157200  -0.24613997  -0.23647147
5.2153535  0.1232930  1369171600  -0.23403430  -0.56096619
5.2153535  0.1232930  1369186000   0.20181912  -0.48637900
5.2153535  0.1232930  1369200400  -0.41028610   0.09803061
5.2153535  0.1232930  1369214800  -0.27171510   0.72735834
5.2153535  0.1232930  1369229200   0.31673294   0.45982701
5.2153535  0.1232930  1369243600  -0.25665656  -0.24572374
5.2153535  0.1232930  1369258000  -0.22364911  -0.56277603
5.2153535  0.1232930  1369272400   0.19911352  -0.48130596
5.2153535  0.1232930  1369286800  -0.41994190   0.11101577
5.2153535  0.1232930  1369301200  -0.25851858   0.73139900
5.2153535  0.1232930  1369315600   0.31580043   0.44858128
5.2153535  0.1232930  1369330000  -0.26692721  -0.25484088
5.2153535  0.1232930  1369344400  -0.21310943  -0.56449389
5.2153535  0.1232930  1369358800   0.19599244  -0.47607836
5.2153535  0.1232930  1369373200  -0.42929545   0.12402952
5.2153535  0.1232930  1369387600  -0.24516070   0.73514730
5.2153535  0.1232930  1369402000   0.31441981   0.43721703
5.2153535  0.1232930  1369416400  -0.27694064  -0.26382232
5.2153535  0.1232930  1369430800  -0.20242822  -0.56612045
5.2153535  0.1232930  1369445200   0.19245961  -0.47069600
5.2153535  0.1232930  1369459600  -0.43833950   0.13706683
5.2153535  0.1232930  1369474000  -0.23165658   0.73860037
5.2153535  0.1232930  1369488400   0.31258953   0.42573735
5.2153535  0.1232930  1369502800  -0.28668469  -0.27266663
5.2153535  0.1232930  1369517200  -0.19161984  -0.56765580
5.2153535  0.1232930  1369531600   0.18851823  -0.46515757
5.2153535  0.1232930  1369546000  -0.44706276   0.15012163
5.2153535  0.1232930  1369560400  -0.21802163   0.74175984
5.2153535  0.1232930  1369574800   0.31031546   0.41415063
5.2153535  0.1232930  1369589200  -0.29614547  -0.28137136
5.2153535  0.1232930  1369603600  -0.18069711  -0.56909925
5.2153535  0.1232930  1369618000   0.18417218  -0.45946217
5.2153535  0.1232930  1369632400  -0.45545483   0.16318873
5.2153535  0.1232930  1369646800  -0.20427123   0.74462420
5.2153535  0.1232930  1369661200   0.30760229   0.40246314
5.2153535  0.1232930  1369675600  -0.30531514  -0.28993770
5.2153535  0.1232930  1369690000  -0.16967429  -0.57045001
5.2153535  0.1232930  1369704400   0.17942262  -0.45360619
5.2153535  0.1232930  1369718800  -0.46350503   0.17626184
5.2153535  0.1232930  1369733200  -0.19041982   0.74719167
5.2153535  0.1232930  1369747600   0.30445415   0.39068133
5.2153535  0.1232930  1369762000  -0.31418380  -0.29836565
5.2153535  0.1232930  1369776400  -0.15856633  -0.57171059
5.2153535  0.1232930  1369790800   0.17427644  -0.44759041
5.2153535  0.1232930  1369805200  -0.47119886   0.18933482
5.2153535  0.1232930  1369819600  -0.17648242   0.74945903
5.2153535  0.1232930  1369834000   0.30087537   0.37881070
5.2153535  0.1232930  1369848400  -0.32274094  -0.30665433
5.2153535  0.1232930  1369862800  -0.14738795  -0.57288110
5.2153535  0.1232930  1369877200   0.16873991  -0.44141486
0.4580149  0.4044432  1368970000  -0.68357742   0.46944147
0.4580149  0.4044432  1368984400   0.22447181   0.82622939
0.4580149  0.4044432  1368998800   0.30283314  -0.10492872
0.4580149  0.4044432  1369013200  -0.33783007  -0.39899275
0.4580149  0.4044432  1369027600   0.10363115  -0.37138414
0.4580149  0.4044432  1369042000  -0.17462474  -0.42209816
0.4580149  0.4044432  1369056400  -0.67860967   0.48671788
0.4580149  0.4044432  1369070800   0.23988149   0.81731105
0.4580149  0.4044432  1369085200   0.29040453  -0.11883378
0.4580149  0.4044432  1369099600  -0.33858168  -0.39668426
0.4580149  0.4044432  1369114000   0.11081631  -0.37472737
0.4580149  0.4044432  1369128400  -0.18920787  -0.41521847
0.4580149  0.4044432  1369142800  -0.67309982   0.50381118
0.4580149  0.4044432  1369157200   0.25495365   0.80794913
0.4580149  0.4044432  1369171600   0.27773127  -0.13246404
0.4580149  0.4044432  1369186000  -0.33889356  -0.39430255
0.4580149  0.4044432  1369200400   0.11770055  -0.37815428
0.4580149  0.4044432  1369214800  -0.20388709  -0.40797657
0.4580149  0.4044432  1369229200  -0.66705298   0.52070779
0.4580149  0.4044432  1369243600   0.26967785   0.79815793
0.4580149  0.4044432  1369258000   0.26482895  -0.14581290
0.4580149  0.4044432  1369272400  -0.33876374  -0.39185518
0.4580149  0.4044432  1369286800   0.12427197  -0.38165805
0.4580149  0.4044432  1369301200  -0.21864554  -0.40037227
0.4580149  0.4044432  1369315600  -0.66047329   0.53739476
0.4580149  0.4044432  1369330000   0.28403962   0.78794652
0.4580149  0.4044432  1369344400   0.25171578  -0.15887468
0.4580149  0.4044432  1369358800  -0.33819830  -0.38935262
0.4580149  0.4044432  1369373200   0.13051647  -0.38523060
0.4580149  0.4044432  1369387600  -0.23346676  -0.39240277
0.4580149  0.4044432  1369402000  -0.65336609   0.55385840
0.4580149  0.4044432  1369416400   0.29802626   0.77732348
0.4580149  0.4044432  1369430800   0.23840722  -0.17164399
0.4580149  0.4044432  1369445200  -0.33720186  -0.38680482
0.4580149  0.4044432  1369459600   0.13642630  -0.38886586
0.4580149  0.4044432  1369474000  -0.24833304  -0.38406795
0.4580149  0.4044432  1369488400  -0.64573073   0.57008201
0.4580149  0.4044432  1369502800   0.31162384   0.76629835
0.4580149  0.4044432  1369517200   0.22492033  -0.18411429
0.4580149  0.4044432  1369531600  -0.33577827  -0.38422069
