%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@H1config.txt'
%% columns:
%% Alpha   Delta        A_H1         B_H1         C_H1         D_H1
6.0506254  1.0993443   0.24722503   0.26012242  -0.00023234   0.06430872
5.2153535  0.1232930   0.08184344   0.22550659   0.00398865   0.01844032
0.4580149  0.4044432   0.12970769   0.23434032  -0.00040884   0.03039558
2.0222888  0.6941112   0.19572663   0.24583380  -0.00145276   0.04811411
5.9885083  -1.0447238   0.24490367   0.25943825  -0.00125180   0.06353581
4.4346531  -0.7981210   0.21478888   0.25321221  -0.00077175   0.05438657
5.8152493  -0.4165243   0.13011211   0.23694380   0.00122867   0.03082775
4.0078733  -0.1888317   0.09240386   0.22738500  -0.00044568   0.02101105
2.9551976  -1.0337387   0.24140613   0.25811875   0.00076673   0.06231086
3.6591915  -1.0981567   0.25693098   0.25754648   0.00106219   0.06617054
4.0747269  -0.1380009   0.08657637   0.22597954  -0.00031659   0.01956439
1.2687658  1.2095411   0.25974509   0.26726350   0.00152435   0.06941806
5.1432076  -0.8236868   0.22150400   0.25087926   0.00152849   0.05556842
1.5489243  -0.5683571   0.15903252   0.22952740  -0.00219048   0.03649752
2.1406669  0.3023291   0.10892244   0.23213765  -0.00230281   0.02527970
2.1097142  -0.1997824   0.08921223   0.22608100  -0.00416971   0.02015180
1.6328661  0.0527628   0.07864622   0.22406572  -0.00257112   0.01761531
2.0732582  -0.0460825   0.07812370   0.22571778  -0.00377502   0.01761966
4.9994362  -0.2875997   0.10587001   0.23092604   0.00246619   0.02444206
1.6068080  -0.6478640   0.17634737   0.23260829  -0.00202773   0.04101575
2.1345394  -0.5530188   0.15550624   0.23274621  -0.00393604   0.03617800
1.6040908  -0.2248613   0.09232707   0.22227612  -0.00288689   0.02051377
1.8594845  -0.2650424   0.09803594   0.22429766  -0.00375796   0.02197511
5.3915955  -0.2834357   0.10544012   0.23203978   0.00223284   0.02446132
6.0314867  0.4603265   0.13526481   0.23720051   0.00128383   0.03208324
3.1414039  0.6824616   0.18699118   0.24484751  -0.00253430   0.04577790
2.6829113  0.8649325   0.22376008   0.25270268   0.00153709   0.05654241
5.8974952  -0.3117867   0.10888693   0.23426224   0.00194846   0.02550430
1.9863333  0.6080129   0.17632833   0.24262042  -0.00167296   0.04277806
2.7861863  -0.3952667   0.12123038   0.23497456  -0.00222904   0.02848109
5.9231052  0.9668833   0.23275991   0.25469348   0.00109992   0.05928122
3.5709989  0.7127733   0.19454201   0.24048071  -0.00343963   0.04677177
1.9706097  0.9587134   0.24231309   0.25585037  -0.00183994   0.06199251
3.4911524  0.9668812   0.23646410   0.25076795  -0.00330813   0.05928667
0.0121268  -0.4897535   0.14489423   0.23803386   0.00293119   0.03448114
3.5934977  -0.4460554   0.13874178   0.23561476   0.00060090   0.03268925
6.2173282  -0.4487529   0.13589108   0.23729664   0.00263159   0.03223957
3.1512712  0.2938732   0.10559628   0.23285304  -0.00295036   0.02457971
6.1382132  -0.3256967   0.11104506   0.23431113   0.00253079   0.02601269
0.8567893  -0.2751080   0.10314541   0.22434771   0.00095088   0.02313953
1.8241072  -1.1544323   0.25167289   0.25399795   0.00099305   0.06392341
3.0206655  -0.8595940   0.21874611   0.25186986   0.00122846   0.05509404
2.2749986  -0.0721577   0.07893611   0.22729279  -0.00384458   0.01792683
2.5465376  -0.3699053   0.11596612   0.23269419  -0.00362195   0.02697152
4.5828199  1.0184934   0.23800860   0.24945273   0.00054392   0.05937160
3.9193756  -0.7711597   0.21227986   0.24800944  -0.00094545   0.05264652
1.8726820  -1.2055288   0.25541183   0.25562939   0.00119014   0.06528935
2.7785658  0.5840298   0.16688462   0.24255888  -0.00054946   0.04047904
4.5172970  0.1860436   0.08808260   0.22147843   0.00186382   0.01950492
1.3653210  -0.5925719   0.16497621   0.23018622  -0.00164358   0.03797255
1.5653009  0.4704254   0.14318654   0.23791741  -0.00136235   0.03406471
0.2319996  -0.1045419   0.08308800   0.22877890   0.00247804   0.01900264
5.6027110  0.0301608   0.07766994   0.22872460   0.00346040   0.01775305
2.9154509  1.0824034   0.24768378   0.26066172   0.00067723   0.06456122
5.7585709  -0.5098684   0.15119618   0.23972704   0.00053551   0.03624553
5.1551090  0.0687249   0.07877026   0.22510597   0.00378745   0.01771731
3.7000517  -0.6726742   0.19121639   0.24337487   0.00068387   0.04653680
1.5380894  0.3433669   0.11578770   0.23251875  -0.00149939   0.02692056
3.8126684  0.9925048   0.24017349   0.24800204  -0.00123776   0.05956198
0.3604856  1.0020550   0.24589166   0.25508416  -0.00250022   0.06271682
5.1197274  -0.3746690   0.12308505   0.23397763   0.00221697   0.02879423
5.7602572  -1.2445352   0.26110449   0.26341680  -0.00300380   0.06877029
6.1945294  -0.2446079   0.09751235   0.23237914   0.00272829   0.02265239
5.9326174  -0.8097261   0.21322036   0.25097901  -0.00068283   0.05351337
0.0176734  0.2745015   0.10143472   0.23258469   0.00073701   0.02359162
5.2296836  -0.4610543   0.14223306   0.23699695   0.00174655   0.03370575
3.7420450  -0.2386777   0.09952939   0.22951894  -0.00044813   0.02284368
5.6131099  0.2026494   0.08931195   0.22943147   0.00383324   0.02047628
4.5762547  -0.8905227   0.23000737   0.25750861   0.00025247   0.05922881
0.1623578  -0.7811811   0.20675707   0.24672148   0.00330030   0.05100052
6.2307650  -0.7893122   0.20789975   0.24933708   0.00186601   0.05183363
0.2556546  0.5410486   0.15840122   0.23925506  -0.00142378   0.03789627
3.1605855  0.7402034   0.19865069   0.24684183  -0.00254185   0.04902884
4.3472040  0.6990873   0.18861763   0.23449782   0.00112215   0.04422916
1.4583208  0.1856370   0.08990370   0.22684637  -0.00156047   0.02039189
3.1917156  0.6607479   0.18248717   0.24356903  -0.00289262   0.04443986
0.0242376  -0.5155750   0.15061507   0.23876257   0.00295913   0.03595248
1.1384428  -0.6449288   0.17775016   0.23238574  -0.00084257   0.04130589
1.3597342  0.8898188   0.22995088   0.25744143   0.00039667   0.05919873
3.4238765  -0.0888609   0.08233774   0.22880584  -0.00135470   0.01883752
1.3605927  1.3272150   0.26257840   0.26932585   0.00046834   0.07071893
5.0400225  0.2744241   0.09950400   0.22472517   0.00386280   0.02234613
2.6923142  -0.2753345   0.09936865   0.23191847  -0.00300589   0.02303639
5.9981701  0.9291397   0.22795708   0.25390038   0.00034326   0.05787827
1.0028311  -0.1845524   0.08984481   0.22254513   0.00007969   0.01999452
1.9862204  1.3482068   0.26774493   0.26380274  -0.00226969   0.07062669
4.3721930  -0.4642882   0.14218126   0.23732783  -0.00016952   0.03374354
2.9582975  -0.3906238   0.12112755   0.23540367  -0.00110905   0.02851264
5.9069413  -0.2502553   0.09847938   0.23291895   0.00222097   0.02293278
3.6353799  0.1151829   0.08463369   0.22661622  -0.00208967   0.01917500
3.5946791  0.7837843   0.20838556   0.24268107  -0.00327539   0.05056050
3.5946936  -0.1128659   0.08473231   0.22803769  -0.00104161   0.01932107
0.8983732  0.6489523   0.18611553   0.24389835   0.00114911   0.04539195
3.3161214  -0.9497041   0.23649152   0.25430033   0.00303883   0.06013064
0.4929305  -0.9059971   0.22876334   0.24659570   0.00285232   0.05640392
0.5905317  0.9342880   0.23951375   0.25281829  -0.00038837   0.06055331
3.6792300  -0.0619016   0.08189915   0.22690482  -0.00119875   0.01858188
2.4093294  -0.4210083   0.12634793   0.23246500  -0.00407407   0.02935487
6.1928730  0.1203453   0.08229066   0.23053654   0.00190532   0.01896737
1.0764671  0.2812845   0.10539407   0.22978835   0.00013964   0.02421831
4.8005412  -1.2480853   0.26212150   0.26678434   0.00257631   0.06992327
1.8514209  0.2188270   0.09474307   0.22885381  -0.00266513   0.02167521
3.9527145  0.2334368   0.09704566   0.22431001  -0.00115864   0.02176697
4.5998601  -0.9516844   0.23852208   0.25993952   0.00047038   0.06200109
3.4255983  -0.8876148   0.22929098   0.25157806   0.00272163   0.05767717
3.6495399  0.1295298   0.08577678   0.22653785  -0.00211359   0.01942722
1.9332239  -0.5220015   0.14862704   0.22999175  -0.00351702   0.03417062
0.6821772  -0.0630764   0.08165882   0.22495899   0.00134143   0.01836809
2.0806488  0.0822939   0.08073357   0.22710851  -0.00331421   0.01832430
2.8918827  -0.6334888   0.17349926   0.24295346  -0.00062632   0.04215185
3.4166332  0.2462916   0.09885333   0.22987987  -0.00303236   0.02271520
5.7443868  -0.8781015   0.22686188   0.25280738  -0.00179395   0.05734914
0.2603141  0.3874110   0.12450843   0.23452047  -0.00051919   0.02919951
6.0283613  -1.0996837   0.24932231   0.26119262  -0.00101266   0.06512012
1.5819940  -0.1430665   0.08326830   0.22193457  -0.00273761   0.01847262
0.1365347  0.8004036   0.21209764   0.24906334  -0.00257176   0.05281913
1.5022309  -1.5498766   0.26263383   0.26804134   0.00124719   0.07039517
5.0492432  0.2197654   0.09163372   0.22432484   0.00386555   0.02054078
1.1476646  -0.3849212   0.12142361   0.22434776  -0.00076596   0.02724053
2.0537940  -0.6389823   0.17464258   0.23459095  -0.00340344   0.04095798
6.0124366  0.3140681   0.10624330   0.23339823   0.00194834   0.02479320
5.7134395  -0.4481278   0.13758247   0.23764883   0.00090128   0.03269550
0.8675181  -0.0431816   0.08046989   0.22366412   0.00063129   0.01799783
3.5016053  0.8698303   0.22279364   0.24713278  -0.00344124   0.05504777
4.8760842  0.8404847   0.21393217   0.24087036   0.00114438   0.05152861
3.7741140  -0.1696188   0.09046455   0.22792599  -0.00068034   0.02061876
1.2304909  1.2285906   0.26069957   0.26733959   0.00191569   0.06969165
5.0345460  -0.6436144   0.18419717   0.24445437   0.00185419   0.04502437
0.2049913  -0.6409245   0.17868586   0.24107039   0.00356061   0.04306319
3.5741064  -0.2979099   0.10860727   0.23156890  -0.00006319   0.02515006
5.2153837  1.2990682   0.26156449   0.25784510  -0.00035218   0.06744300
2.9636939  0.0226276   0.07792651   0.23022173  -0.00251061   0.01793407
1.1443304  0.7366504   0.20360412   0.24955752   0.00138889   0.05080901
2.7041001  0.0801626   0.07999086   0.23037502  -0.00275929   0.01842028
4.0989115  -0.7300110   0.20333339   0.24777929  -0.00155246   0.05037939
1.8562753  0.5885250   0.17144014   0.24233367  -0.00190894   0.04154207
5.5918427  -0.9052492   0.23292336   0.25300851  -0.00167038   0.05892880
1.2611668  0.1386266   0.08520292   0.22537227  -0.00082432   0.01920170
2.1068690  1.0427705   0.25228968   0.25728086  -0.00086497   0.06490856
1.3223733  -0.6890348   0.18583500   0.23403586  -0.00140917   0.04349007
3.8535420  -1.0049282   0.24864145   0.25575671  -0.00095815   0.06359080
1.8751790  0.0121272   0.07771370   0.22475302  -0.00334539   0.01745520
4.5281007  0.5789627   0.16188611   0.22969484   0.00172538   0.03718143
2.3268987  0.6244029   0.17950615   0.24285649  -0.00019304   0.04359420
5.4323114  0.7516264   0.19801037   0.24086519   0.00351453   0.04768145
1.9740664  -0.1031742   0.08043750   0.22465311  -0.00381950   0.01805595
0.7424138  -0.8075203   0.21258289   0.24041799   0.00129113   0.05110708
2.2817750  0.5067729   0.15246245   0.23873256  -0.00096005   0.03639683
2.9786978  0.1958678   0.09072118   0.23178826  -0.00261922   0.02102124
6.0928389  0.8646328   0.21886882   0.25192881  -0.00056489   0.05513904
4.7421545  0.4809009   0.13963734   0.22689116   0.00259622   0.03167574
1.2094586  0.5226674   0.15566431   0.23992591   0.00043348   0.03734771
5.8567803  -0.0102056   0.07746302   0.22998485   0.00288896   0.01780698
