%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta        A_L1         B_L1         C_L1         D_L1
6.0506254  1.0993443   0.17537761   0.17846102   0.00021914   0.03129802
5.2153535  0.1232930   0.24196219   0.18613133   0.00746555   0.04498101
0.4580149  0.4044432   0.23100832   0.18781877  -0.00363359   0.04337449
2.0222888  0.6941112   0.20673543   0.18586257  -0.00250229   0.03841812
5.9885083  -1.0447238   0.18274495   0.18059255  -0.00071870   0.03300186
4.4346531  -0.7981210   0.19976984   0.18536645  -0.00024738   0.03703057
5.8152493  -0.4165243   0.23053659   0.18927675   0.00298692   0.04362630
4.0078733  -0.1888317   0.24880819   0.18759783   0.00398231   0.04666002
2.9551976  -1.0337387   0.17725161   0.17952171   0.00030468   0.03182042
3.6591915  -1.0981567   0.18352798   0.17775984   0.00230873   0.03261857
4.0747269  -0.1380009   0.25095096   0.18726404   0.00423347   0.04697617
1.2687658  1.2095411   0.17954841   0.18008339   0.00190271   0.03233007
5.1432076  -0.8236868   0.19703250   0.18434247   0.00200477   0.03631744
1.5489243  -0.5683571   0.21203998   0.17782505  -0.00615219   0.03766817
2.1406669  0.3023291   0.23766445   0.18859293  -0.00505011   0.04479633
2.1097142  -0.1997824   0.23772955   0.18547204  -0.00743061   0.04403697
1.6328661  0.0527628   0.24787578   0.18585381  -0.00679843   0.04602244
2.0732582  -0.0460825   0.24464680   0.18692239  -0.00725869   0.04567728
4.9994362  -0.2875997   0.23866384   0.18790700   0.00529390   0.04481858
1.6068080  -0.6478640   0.20393601   0.17694779  -0.00560884   0.03605457
2.1345394  -0.5530188   0.20790182   0.18031286  -0.00597873   0.03745163
1.6040908  -0.2248613   0.24027619   0.18249486  -0.00765716   0.04379054
1.8594845  -0.2650424   0.23500107   0.18293603  -0.00787436   0.04292816
5.3915955  -0.2834357   0.23885243   0.18897277   0.00495859   0.04511202
6.0314867  0.4603265   0.21673766   0.18754014   0.00091786   0.04064617
3.1414039  0.6824616   0.20777138   0.18592380  -0.00216772   0.03862494
2.6829113  0.8649325   0.19357646   0.18288039  -0.00006087   0.03540133
5.8974952  -0.3117867   0.23825315   0.19035204   0.00326585   0.04534131
1.9863333  0.6080129   0.21380159   0.18683718  -0.00296687   0.03993728
2.7861863  -0.3952667   0.22210997   0.18789573  -0.00223529   0.04172852
5.9231052  0.9668833   0.17888618   0.17914602   0.00098545   0.03204578
3.5709989  0.7127733   0.20704398   0.18210959  -0.00223017   0.03769972
1.9706097  0.9587134   0.18889813   0.18262547  -0.00175425   0.03449453
3.4911524  0.9668812   0.18695904   0.17912579  -0.00253188   0.03348278
0.0121268  -0.4897535   0.22595198   0.18841590   0.00243939   0.04256700
3.5934977  -0.4460554   0.22727209   0.18740317   0.00370455   0.04257779
6.2173282  -0.4487529   0.22920531   0.18911196   0.00247892   0.04333932
3.1512712  0.2938732   0.24148792   0.19033517  -0.00219339   0.04595883
6.1382132  -0.3256967   0.23842432   0.19039641   0.00264200   0.04538815
0.8567893  -0.2751080   0.24548525   0.18438379  -0.00304260   0.04525424
1.8241072  -1.1544323   0.17431778   0.17350642  -0.00028457   0.03024517
3.0206655  -0.8595940   0.18535826   0.18220861   0.00114393   0.03377256
2.2749986  -0.0721577   0.24344970   0.18806238  -0.00661947   0.04573991
