%% LAL: 7.6.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALFrame: 3.0.5 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALSimulation: 6.0.0 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALInference: 4.1.7 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% LALPulsar: 7.0.1 (CLEAN 66b61e11399a21c5dd2ec3af5f8bb4f4698d367a)
%% argv[0]: '/home/damoncht/.conda/envs/ml/bin/lalpulsar_ComputeAntennaPattern'
%% argv[1]: '@L1config.txt'
%% columns:
%% Alpha   Delta       tGPS       a(t)         b(t)
6.0506254  1.0993443  1368970000  -0.02018634  -0.79355633
6.0506254  1.0993443  1368984400  -0.51438338   0.21913511
6.0506254  1.0993443  1368998800   0.38679168   0.29929313
6.0506254  1.0993443  1369013200  -0.02178876  -0.23423472
6.0506254  1.0993443  1369027600  -0.07381475   0.49594846
6.0506254  1.0993443  1369042000   0.81432152   0.00211618
6.0506254  1.0993443  1369056400  -0.04221963  -0.78936034
6.0506254  1.0993443  1369070800  -0.50390512   0.23649904
6.0506254  1.0993443  1369085200   0.39412493   0.28599378
6.0506254  1.0993443  1369099600  -0.03520868  -0.22996280
6.0506254  1.0993443  1369114000  -0.05903253   0.50466841
6.0506254  1.0993443  1369128400   0.81686550  -0.01942999
6.0506254  1.0993443  1369142800  -0.06409873  -0.78447759
6.0506254  1.0993443  1369157200  -0.49290997   0.25346267
6.0506254  1.0993443  1369171600   0.40091330   0.27248591
6.0506254  1.0993443  1369186000  -0.04846894  -0.22517240
6.0506254  1.0993443  1369200400  -0.04387565   0.51290751
6.0506254  1.0993443  1369214800   0.81874150  -0.04108591
6.0506254  1.0993443  1369229200  -0.08580096  -0.77891564
6.0506254  1.0993443  1369243600  -0.48141772   0.27001417
6.0506254  1.0993443  1369258000   0.40715098   0.25878876
6.0506254  1.0993443  1369272400  -0.06154798  -0.21986517
6.0506254  1.0993443  1369286800  -0.02835904   0.52065158
6.0506254  1.0993443  1369301200   0.81994498  -0.06282910
6.0506254  1.0993443  1369315600  -0.10730541  -0.77268040
6.0506254  1.0993443  1369330000  -0.46944410   0.28613701
6.0506254  1.0993443  1369344400   0.41283533   0.24492419
6.0506254  1.0993443  1369358800  -0.07442811  -0.21405089
6.0506254  1.0993443  1369373200  -0.01249808   0.52788234
6.0506254  1.0993443  1369387600   0.82046819  -0.08463813
6.0506254  1.0993443  1369402000  -0.12858982  -0.76577926
6.0506254  1.0993443  1369416400  -0.45700425   0.30181691
6.0506254  1.0993443  1369430800   0.41796252   0.23091124
6.0506254  1.0993443  1369445200  -0.08709013  -0.20773801
6.0506254  1.0993443  1369459600   0.00368813   0.53459346
6.0506254  1.0993443  1369474000   0.82030725  -0.10648957
6.0506254  1.0993443  1369488400  -0.14963150  -0.75821227
6.0506254  1.0993443  1369502800  -0.44411463   0.31703809
6.0506254  1.0993443  1369517200   0.42252818   0.21677062
6.0506254  1.0993443  1369531600  -0.09951615  -0.20093402
6.0506254  1.0993443  1369546000   0.02018141   0.54077303
6.0506254  1.0993443  1369560400   0.81946546  -0.12836197
6.0506254  1.0993443  1369574800  -0.17040971  -0.74999368
6.0506254  1.0993443  1369589200  -0.43078655   0.33178240
6.0506254  1.0993443  1369603600   0.42652693   0.20252100
6.0506254  1.0993443  1369618000  -0.11168705  -0.19364777
6.0506254  1.0993443  1369632400   0.03696468   0.54641008
6.0506254  1.0993443  1369646800   0.81794178  -0.15023223
6.0506254  1.0993443  1369661200  -0.19090514  -0.74113429
6.0506254  1.0993443  1369675600  -0.41704315   0.34604061
6.0506254  1.0993443  1369690000   0.42995441   0.18818298
6.0506254  1.0993443  1369704400  -0.12358330  -0.18588457
6.0506254  1.0993443  1369718800   0.05401883   0.55149364
6.0506254  1.0993443  1369733200   0.81573534  -0.17207874
6.0506254  1.0993443  1369747600  -0.21109681  -0.73164427
6.0506254  1.0993443  1369762000  -0.40290159   0.35980064
6.0506254  1.0993443  1369776400   0.43281335   0.17377737
6.0506254  1.0993443  1369790800  -0.13518763  -0.17765668
6.0506254  1.0993443  1369805200   0.07132757   0.55600691
6.0506254  1.0993443  1369819600   0.81284326  -0.19387776
6.0506254  1.0993443  1369834000  -0.23096539  -0.72153383
6.0506254  1.0993443  1369848400  -0.38838029   0.37304959
6.0506254  1.0993443  1369862800   0.43510270   0.15932500
6.0506254  1.0993443  1369877200  -0.14648388  -0.16897574
5.2153535  0.1232930  1368970000   0.10490005  -0.38165897
5.2153535  0.1232930  1368984400   0.59903014   0.24291484
5.2153535  0.1232930  1368998800   0.49192530   0.52612591
5.2153535  0.1232930  1369013200   0.21904990   0.42339158
5.2153535  0.1232930  1369027600   0.74417925  -0.15181036
5.2153535  0.1232930  1369042000   0.51536858  -0.66980523
5.2153535  0.1232930  1369056400   0.10738114  -0.37139118
5.2153535  0.1232930  1369070800   0.60620654   0.25092316
5.2153535  0.1232930  1369085200   0.48304522   0.52761918
5.2153535  0.1232930  1369099600   0.22338149   0.41778651
5.2153535  0.1232930  1369114000   0.75036514  -0.16359836
5.2153535  0.1232930  1369128400   0.50392282  -0.67208081
5.2153535  0.1232930  1369142800   0.11021313  -0.36103517
